,"Country,Other",TotalCases,NewCases,TotalDeaths
154,Taiwan,"16,287",+4,846 
155,Mauritius,"16,189",,106 
156,Aruba,"15,605",,169 
157,Mali,"15,415",,553 
158,Andorra,"15,291",,130 
159,Nicaragua,"15,134",,205 
160,Congo,"14,833",,206 
161,Burkina Faso,"14,434",,195 
162,Djibouti,"13,179",,174 
163,Equatorial Guinea,"12,657",,154 
164,Hong Kong,"12,254",,213 
165,Iceland,"12,147",,33 
166,South Sudan,"12,104",,130 
167,Saint Lucia,"11,942",,222 
168,Channel Islands,"11,843",,98 
169,CAR,"11,401",,100 
170,Barbados,"10,383",,88 
171,Gambia,"9,939",,338 
172,Yemen,"9,333",,"1,773 "
173,New Caledonia,"9,100",+89,196 
174,Brunei ,"8,599",+135,63 
175,Isle of Man,"7,959",,54 
176,Eritrea,"6,737",,42 
177,Sierra Leone,"6,396",,121 
178,Guinea-Bissau,"6,115",,135 
179,Niger,"6,093",,204 
180,Liberia,"5,799",,286 
181,Gibraltar,"5,613",+5,97 
182,Grenada,"5,591",+37,173 
183,Bermuda,"5,501",,89 
184,San Marino,"5,444",,91 
185,Chad,"5,058",,174 
186,New Zealand,"4,563",+36,28 
187,Sint Maarten,"4,395",,68 
188,Comoros,"4,161",,147 
189,St. Vincent Grenadines,"3,965",,33 
190,Dominica,"3,948",,26 
191,Saint Martin,"3,789",,55 
192,Antigua and Barbuda,"3,678",,91 
193,Sao Tome and Principe,"3,613",,56 
194,Liechtenstein,"3,457",,60 
195,Monaco,"3,331",,33 
196,Turks and Caicos,"2,890",,23 
197,British Virgin Islands,"2,725",,37 
198,Bhutan,"2,613",,3 
199,Saint Kitts and Nevis,"2,320",,17 
200,Caribbean Netherlands,"2,217",,19 
201,St. Barth,"1,587",,6 
202,Faeroe Islands,"1,268",,2 
203,Cayman Islands,960,,2 
204,Diamond Princess,712,,13 
205,Greenland,620,, 
206,Anguilla,544,,1 
207,Wallis and Futuna,445,,7 
208,Macao,77,+2, 
209,Falkland Islands,68,, 
210,Montserrat,40,,1 
211,Saint Pierre Miquelon,32,, 
212,Vatican City,27,, 
213,Solomon Islands,20,, 
214,Western Sahara,10,,1 
215,MS Zaandam,9,,2 
216,Palau,8,, 
217,Vanuatu,4,,1 
218,Marshall Islands,4,, 
219,Samoa,3,, 
220,Saint Helena,2,, 
221,Micronesia,1,, 
222,China,"96,374",+17,"4,636 "
223,"54,260,789","+7,195","1,103,231",+503
224,"76,929,790","+35,020","1,136,449",+561
225,"37,993,703",,"1,160,182",
226,"60,189,317","+62,041","1,242,128","+1,324"
227,"8,453,637",,"214,037",
228,"253,302","+2,710","3,177",+21
229,721,,15,
230,"238,081,259","+106,966","4,859,219","+2,409"
